label,type,Satisfaction,Contribution,effectif,drillGroup,drillLevel
Accueil,particulier,70,65,600,Accueil,main
Politesse,particulier,65,74,600,Accueil,sub
Courtoisie,particulier,74,71,600,Accueil,sub
Gentillesse,particulier,71,85,600,Accueil,sub
Interventions Techniques,particulier,85,90,700,Interventions Techniques,main
Prix,particulier,77,76,500,Prix,main
Conseils,particulier,88,76,600,Conseils,main
Maitrise de l'energie,particulier,83,80,700,Maitrise de l'energie,main
Accueil,professionels,73,92,450,Accueil,main
Interventions Techniques,professionels,88,77,550,Interventions Techniques,main
Prix,professionels,78,88,350,Prix,main
Conseils,professionels,88,83,450,Conseils,main
Maitrise de l'energie,professionels,83,73,550,Maitrise de l'energie,main
Politesse,professionels,70,65,600,Accueil,sub
Courtoisie,professionels,65,74,600,Accueil,sub
Gentillesse,professionels,74,71,600,Accueil,sub
