date;interventions;country;information;equipe;categorie
01/01/2021 00:00;26;West;Paul;team 1;Repair
02/01/2021 00:00;19;West;Paul;team 1;Repair
03/01/2021 00:00;50;West;Paul;team 1;Repair
04/01/2021 00:00;38;West;Paul;team 1;Repair
05/01/2021 00:00;16;West;Paul;team 1;Repair
06/01/2021 00:00;45;West;Paul;team 1;Repair
07/01/2021 00:00;40;West;Paul;team 1;Repair
08/01/2021 00:00;44;West;Paul;team 1;Repair
09/01/2021 00:00;43;West;Paul;team 1;Repair
10/01/2021 00:00;28;West;Paul;team 1;Repair
11/01/2021 00:00;12;West;Paul;team 1;Repair
12/01/2021 00:00;47;West;Paul;team 1;Repair
01/01/2021 00:00;16;West;Paul;team 1;Maintenance
02/01/2021 00:00;34;West;Paul;team 1;Maintenance
03/01/2021 00:00;28;West;Paul;team 1;Maintenance
04/01/2021 00:00;29;West;Paul;team 1;Maintenance
05/01/2021 00:00;33;West;Paul;team 1;Maintenance
06/01/2021 00:00;20;West;Paul;team 1;Maintenance
07/01/2021 00:00;45;West;Paul;team 1;Maintenance
08/01/2021 00:00;18;West;Paul;team 1;Maintenance
09/01/2021 00:00;46;West;Paul;team 1;Maintenance
10/01/2021 00:00;22;West;Paul;team 1;Maintenance
11/01/2021 00:00;33;West;Paul;team 1;Maintenance
12/01/2021 00:00;25;West;Paul;team 1;Maintenance
01/01/2021 00:00;23;West;Paul;team 1;Installation
02/01/2021 00:00;40;West;Paul;team 1;Installation
03/01/2021 00:00;21;West;Paul;team 1;Installation
04/01/2021 00:00;24;West;Paul;team 1;Installation
05/01/2021 00:00;16;West;Paul;team 1;Installation
06/01/2021 00:00;10;West;Paul;team 1;Installation
07/01/2021 00:00;22;West;Paul;team 1;Installation
08/01/2021 00:00;48;West;Paul;team 1;Installation
09/01/2021 00:00;14;West;Paul;team 1;Installation
10/01/2021 00:00;18;West;Paul;team 1;Installation
11/01/2021 00:00;25;West;Paul;team 1;Installation
12/01/2021 00:00;23;West;Paul;team 1;Installation
01/01/2021 00:00;47;West;Sam;team 1;Repair
02/01/2021 00:00;33;West;Sam;team 1;Repair
03/01/2021 00:00;20;West;Sam;team 1;Repair
04/01/2021 00:00;44;West;Sam;team 1;Repair
05/01/2021 00:00;40;West;Sam;team 1;Repair
06/01/2021 00:00;41;West;Sam;team 1;Repair
07/01/2021 00:00;22;West;Sam;team 1;Repair
08/01/2021 00:00;12;West;Sam;team 1;Repair
09/01/2021 00:00;31;West;Sam;team 1;Repair
10/01/2021 00:00;20;West;Sam;team 1;Repair
11/01/2021 00:00;17;West;Sam;team 1;Repair
12/01/2021 00:00;50;West;Sam;team 1;Repair
01/01/2021 00:00;48;West;Sam;team 1;Maintenance
02/01/2021 00:00;13;West;Sam;team 1;Maintenance
03/01/2021 00:00;26;West;Sam;team 1;Maintenance
04/01/2021 00:00;18;West;Sam;team 1;Maintenance
05/01/2021 00:00;25;West;Sam;team 1;Maintenance
06/01/2021 00:00;18;West;Sam;team 1;Maintenance
07/01/2021 00:00;41;West;Sam;team 1;Maintenance
08/01/2021 00:00;22;West;Sam;team 1;Maintenance
09/01/2021 00:00;10;West;Sam;team 1;Maintenance
10/01/2021 00:00;12;West;Sam;team 1;Maintenance
11/01/2021 00:00;16;West;Sam;team 1;Maintenance
12/01/2021 00:00;47;West;Sam;team 1;Maintenance
01/01/2021 00:00;49;West;Sam;team 1;Installation
02/01/2021 00:00;27;West;Sam;team 1;Installation
03/01/2021 00:00;31;West;Sam;team 1;Installation
04/01/2021 00:00;40;West;Sam;team 1;Installation
05/01/2021 00:00;32;West;Sam;team 1;Installation
06/01/2021 00:00;35;West;Sam;team 1;Installation
07/01/2021 00:00;44;West;Sam;team 1;Installation
08/01/2021 00:00;11;West;Sam;team 1;Installation
09/01/2021 00:00;36;West;Sam;team 1;Installation
10/01/2021 00:00;27;West;Sam;team 1;Installation
11/01/2021 00:00;43;West;Sam;team 1;Installation
12/01/2021 00:00;19;West;Sam;team 1;Installation
01/01/2021 00:00;15;West;Yoan;team 2;Repair
02/01/2021 00:00;34;West;Yoan;team 2;Repair
03/01/2021 00:00;32;West;Yoan;team 2;Repair
04/01/2021 00:00;31;West;Yoan;team 2;Repair
05/01/2021 00:00;25;West;Yoan;team 2;Repair
06/01/2021 00:00;49;West;Yoan;team 2;Repair
07/01/2021 00:00;34;West;Yoan;team 2;Repair
08/01/2021 00:00;41;West;Yoan;team 2;Repair
09/01/2021 00:00;39;West;Yoan;team 2;Repair
10/01/2021 00:00;34;West;Yoan;team 2;Repair
11/01/2021 00:00;30;West;Yoan;team 2;Repair
12/01/2021 00:00;22;West;Yoan;team 2;Repair
01/01/2021 00:00;26;West;Yoan;team 2;Maintenance
02/01/2021 00:00;35;West;Yoan;team 2;Maintenance
03/01/2021 00:00;22;West;Yoan;team 2;Maintenance
04/01/2021 00:00;12;West;Yoan;team 2;Maintenance
05/01/2021 00:00;11;West;Yoan;team 2;Maintenance
06/01/2021 00:00;48;West;Yoan;team 2;Maintenance
07/01/2021 00:00;50;West;Yoan;team 2;Maintenance
08/01/2021 00:00;47;West;Yoan;team 2;Maintenance
09/01/2021 00:00;18;West;Yoan;team 2;Maintenance
10/01/2021 00:00;50;West;Yoan;team 2;Maintenance
11/01/2021 00:00;29;West;Yoan;team 2;Maintenance
12/01/2021 00:00;49;West;Yoan;team 2;Maintenance
01/01/2021 00:00;31;West;Yoan;team 2;Installation
02/01/2021 00:00;39;West;Yoan;team 2;Installation
03/01/2021 00:00;39;West;Yoan;team 2;Installation
04/01/2021 00:00;14;West;Yoan;team 2;Installation
05/01/2021 00:00;25;West;Yoan;team 2;Installation
