,_id,packs,label,start_date,end_date,groups,domain
0,5f43d0393f3eb624cd2361b9,PO,Discovery,1/1/21,1/23/21,Current,gantt_compared
1,5f43d0393f3eb624cd2361ba,PO,Discovery,1/1/21,1/15/21,Forecast,gantt_compared
2,5f43d0393f3eb624cd2361bb,PO,User Interview,1/15/21,2/25/21,Current,gantt_compared
3,5f43d0393f3eb624cd2361bc,PO,User Interview,1/15/21,2/28/21,Forecast,gantt_compared
4,5f43d0393f3eb624cd2361bd,PO,Design thinking,1/3/21,4/4/21,Current,gantt_compared
5,5f43d0393f3eb624cd2361be,PO,Design thinking,1/3/21,4/14/21,Forecast,gantt_compared
6,5f43d0393f3eb624cd2361bf,Dev,MVP1,4/5/21,4/15/21,Current,gantt_compared
7,5f43d0393f3eb624cd2361c0,Dev,MVP1,4/5/21,4/15/21,Forecast,gantt_compared
8,5f43d0393f3eb624cd2361c1,Dev,Testing,4/16/21,5/1/21,Current,gantt_compared
9,5f43d0393f3eb624cd2361c2,Dev,Testing,4/16/21,4/28/21,Forecast,gantt_compared
10,5f43d0393f3eb624cd2361c3,Dev,MVP2,5/2/21,6/1/21,Current,gantt_compared
11,5f43d0393f3eb624cd2361c4,Dev,MVP2,5/10/21,6/1/21,Forecast,gantt_compared
