zone,segment,pays,voiture,value,target,variation,breakdown,orderX,orderY
Europe,Berline,France,Megane,53,60,-1,Volume,1,6
Europe,Berline,Allemagne,Megane,54,59,2,Volume,1,4
Europe,Berline,Italie,Megane,55,58,-4,Volume,1,2
US,Berline,US,Megane,56,57,5,Volume,1,3
US,Berline,Canada,Megane,57,56,-3,Volume,1,5
Asia,Berline,India,Megane,58,55,-5,Volume,1,1
Asia,Berline,China,Megane,59,54,4,Volume,1,7
Europe,Berline,France,Clio,60,47,5,Volume,2,6
Europe,Berline,Allemagne,Clio,61,46,10,Volume,2,4
Europe,Berline,Italie,Clio,62,45,-3,Volume,2,2
US,Berline,US,Clio,63,44,0,Volume,2,3
US,Berline,Canada,Clio,64,43,3,Volume,2,5
Asia,Berline,India,Clio,65,42,-5,Volume,2,1
Asia,Berline,China,Clio,66,41,5,Volume,2,7
Europe,Citadine,France,Twingo,40,60,-3,Volume,3,6
Europe,Citadine,Allemagne,Twingo,54,59,-5,Volume,3,4
Europe,Citadine,Italie,Twingo,55,58,4,Volume,3,2
US,Citadine,US,Twingo,56,57,5,Volume,3,3
US,Citadine,Canada,Twingo,57,56,3,Volume,3,5
Asia,Citadine,India,Twingo,58,55,-5,Volume,3,1
Asia,Citadine,China,Twingo,59,47,9,Volume,3,7
Europe,SUV,France,Koleos,40,60,-3,Volume,5,6
Europe,SUV,Allemagne,Koleos,54,59,-5,Volume,5,4
Europe,SUV,Italie,Koleos,55,58,4,Volume,5,2
US,SUV,US,Koleos,56,57,5,Volume,5,3
US,SUV,Canada,Koleos,57,56,3,Volume,5,5
Europe,Monospace,France,Espace,60,46,-5,Volume,4,6
Europe,Monospace,Allemagne,Espace,61,45,4,Volume,4,4
Europe,Monospace,Italie,Espace,60,44,-4,Volume,4,2
US,Monospace,US,Espace,61,57,-5,Volume,4,3
US,Monospace,Canada,Espace,62,56,4,Volume,4,5
Asia,Monospace,India,Espace,63,55,-4,Volume,4,1
Asia,Monospace,China,Espace,64,54,-5,Volume,4,7
Europe,Monospace,France,Scenic,65,53,4,Volume,10,6
Europe,Monospace,Allemagne,Scenic,66,87,5,Volume,10,4
Europe,Monospace,Italie,Scenic,40,86,-1,Volume,10,2
US,Monospace,US,Scenic,54,47,2,Volume,10,3
US,Monospace,Canada,Scenic,57,46,-3,Volume,10,5
Asia,Monospace,India,Scenic,58,45,-5,Volume,10,1
Asia,Monospace,China,Scenic,59,87,4,Volume,10,7
Europe,Berline,France,Megane,40,60,-1,Motus,1,6
Europe,Berline,Allemagne,Megane,39,40,2,Motus,1,4
Europe,Berline,Italie,Megane,38,39,-4,Motus,1,2
Asia,Berline,India,Megane,41,36,-5,Motus,1,1
Asia,Berline,China,Megane,33,35,4,Motus,1,7
Europe,Berline,France,Clio,40,47,5,Motus,2,6
Europe,Berline,Allemagne,Clio,41,46,10,Motus,2,4
Europe,Berline,Italie,Clio,42,45,-3,Motus,2,2
US,Berline,US,Clio,43,44,0,Motus,2,3
US,Berline,Canada,Clio,44,43,3,Motus,2,5
Asia,Berline,India,Clio,45,42,-5,Motus,2,1
Asia,Berline,China,Clio,46,41,5,Motus,2,7
Europe,Citadine,France,Twingo,40,60,-3,Motus,3,6
Europe,Citadine,Allemagne,Twingo,41,59,-5,Motus,3,4
Europe,Citadine,Italie,Twingo,42,58,4,Motus,3,2
US,Citadine,US,Twingo,43,57,5,Motus,3,3
US,Citadine,Canada,Twingo,60,56,3,Motus,3,5
Europe,Monospace,France,Espace,59,46,-5,Motus,4,6
Europe,Monospace,Allemagne,Espace,58,45,4,Motus,4,4
Europe,Monospace,Italie,Espace,60,44,-4,Motus,4,2
US,Monospace,US,Espace,55,57,-5,Motus,4,3
US,Monospace,Canada,Espace,56,56,4,Motus,4,5
Asia,Monospace,India,Espace,57,55,-4,Motus,4,1
Asia,Monospace,China,Espace,58,54,-5,Motus,4,7
Europe,Monospace,France,Scenic,55,53,4,Motus,10,6
Europe,Monospace,Allemagne,Scenic,54,87,5,Motus,10,4
Europe,Monospace,Italie,Scenic,53,86,-1,Motus,10,2
US,Monospace,US,Scenic,87,47,2,Motus,10,3
US,Monospace,Canada,Scenic,86,46,-3,Motus,10,5
Asia,Monospace,India,Scenic,30,45,-5,Motus,10,1
Asia,Monospace,China,Scenic,90,87,4,Motus,10,7
US,Berline,US,Megane,39,38,5,Amount,1,3
US,Berline,Canada,Megane,40,37,-3,Amount,1,5
Asia,Berline,India,Megane,41,36,-5,Amount,1,1
Asia,Berline,China,Megane,33,35,4,Amount,1,7
US,Berline,US,Clio,43,44,0,Amount,2,3
US,Berline,Canada,Clio,44,43,3,Amount,2,5
Asia,Berline,India,Clio,45,42,-5,Amount,2,1
Asia,Berline,China,Clio,46,41,5,Amount,2,7
US,Citadine,US,Twingo,43,57,5,Amount,3,3
US,Citadine,Canada,Twingo,60,56,3,Amount,3,5
Asia,Citadine,India,Twingo,59,55,-5,Amount,3,1
Asia,Citadine,China,Twingo,60,47,9,Amount,3,7
US,Monospace,US,Espace,55,57,-5,Amount,4,3
US,Monospace,Canada,Espace,56,56,4,Amount,4,5
Asia,Monospace,India,Espace,57,55,-4,Amount,4,1
Asia,Monospace,China,Espace,58,54,-5,Amount,4,7
US,Monospace,US,Scenic,87,47,2,Amount,10,3
US,Monospace,Canada,Scenic,86,46,-3,Amount,10,5
Asia,Monospace,India,Scenic,30,45,-5,Amount,10,1
Asia,Monospace,China,Scenic,90,87,4,Amount,10,7
Europe,Berline,France,Megane,40,60,-1,Variable,1,6
Europe,Berline,Allemagne,Megane,39,40,2,Variable,1,4
Europe,Berline,Italie,Megane,38,39,-4,Variable,1,2
US,Berline,US,Megane,39,38,5,Variable,1,3
US,Berline,Canada,Megane,40,37,-3,Variable,1,5
Asia,Berline,India,Megane,41,36,-5,Variable,1,1
Asia,Berline,China,Megane,33,35,4,Variable,1,7
Europe,Berline,France,Clio,40,47,5,Variable,2,6
Europe,Berline,Allemagne,Clio,41,46,10,Variable,2,4
Europe,Berline,Italie,Clio,42,45,-3,Variable,2,2
US,Berline,US,Clio,43,44,0,Variable,2,3
US,Berline,Canada,Clio,44,43,3,Variable,2,5
Asia,Berline,India,Clio,45,42,-5,Variable,2,1
Asia,Berline,China,Clio,46,41,5,Variable,2,7
Europe,Citadine,France,Twingo,40,60,-3,Variable,3,6
Europe,Citadine,Allemagne,Twingo,41,59,-5,Variable,3,4
Europe,Citadine,Italie,Twingo,42,58,4,Variable,3,2
US,Citadine,US,Twingo,43,57,5,Variable,3,3
US,Citadine,Canada,Twingo,60,56,3,Variable,3,5
Asia,Citadine,India,Twingo,59,55,-5,Variable,3,1
Asia,Citadine,China,Twingo,60,47,9,Variable,3,7
Europe,Monospace,France,Espace,59,46,-5,Variable,4,6
Europe,Monospace,Allemagne,Espace,58,45,4,Variable,4,4
Europe,Monospace,Italie,Espace,60,44,-4,Variable,4,2
Europe,Monospace,France,Scenic,55,53,4,Variable,10,6
Europe,Monospace,Allemagne,Scenic,54,87,5,Variable,10,4
Europe,Monospace,Italie,Scenic,53,86,-1,Variable,10,2
