revenue,units,label
38.6,16,product 52
21.82,17,product 5
51.7,23,product 12
38.48,25,product 53
30.92,26,product 55
39.58,32,product 54
55.68,37,product 34
37.92,44,product 56
55.68,46,product 7
35.04,54,product 26
38.94,58,product 11
42.62,58,product 41
45.26,60,product 22
42.22,71,product 42
37.78,85,product 44
42.58,95,product 38
26.82,133,product 50
28.52,134,product 35
36.34,138,product 43
30.62,141,product 16
37.04,145,product 6
32.94,145,product 37
22.72,152,product 14
23.98,155,product 3
40.12,162,product 29
34.6,162,product 48
31.5,163,product 13
32.68,163,product 15
27.42,181,product 20
17.62,190,product 46
22.36,190,product 47
32.94,192,product 30
43.74,197,product 9
12.5,197,product 28
28.8,204,product 51
39.1,206,product 21
37.22,219,product 8
26.46,232,product 2
30.12,232,product 33
23.04,236,product 45
26,239,product 17
28.78,247,product 39
22.7,257,product 24
11.52,266,product 32
21.275,266.25,product 40
9.5,285,product 31
25.24,298,product 19
28.52,299,product 1
31.34,307,product 36
24.9,310,product 27
14.74,336,product 4
16.06,350,product 10
6.78,350,product 18
4.88,350,product 23
15.58,350,product 25
30.56,,product 49
