brand,axis,value,filtre
Apple,Battery Life,.22,Mois 1
Apple,Brand,.28,Mois 1
Apple,Contract Cost,.17,Mois 1
Apple,Design And Quality,.21,Mois 1
Apple,Large Screen,.50,Mois 1
Samsung,Battery Life,.27,Mois 1
Samsung,Brand,.16,Mois 1
Samsung,Contract Cost,.13,Mois 1
Samsung,Design And Quality,.20,Mois 1
Samsung,Large Screen,.38,Mois 1
Nokia,Battery Life,.26,Mois 1
Nokia,Brand,.10,Mois 1
Nokia,Contract Cost,.14,Mois 1
Nokia,Design And Quality,.22,Mois 1
Nokia,Large Screen,.04,Mois 1
Apple,Battery Life,.22,Mois 2
Apple,Brand,.08,Mois 2
Apple,Contract Cost,.07,Mois 2
Apple,Design And Quality,.01,Mois 2
Apple,Large Screen,.03,Mois 2
Samsung,Battery Life,.57,Mois 2
Samsung,Brand,.66,Mois 2
Samsung,Contract Cost,.03,Mois 2
Samsung,Design And Quality,.39,Mois 2
Samsung,Large Screen,.18,Mois 2
Nokia,Battery Life,.45,Mois 2
Nokia,Brand,.16,Mois 2
Nokia,Contract Cost,.41,Mois 2
Nokia,Design And Quality,.82,Mois 2
Nokia,Large Screen,.14,Mois 2
Apple,Battery Life,.25,Mois 3
Apple,Brand,.08,Mois 3
Apple,Contract Cost,.07,Mois 3
Apple,Design And Quality,.01,Mois 3
Apple,Large Screen,.03,Mois 3
Apple,Pixel Quality,.13,Mois 3
Apple,Sound,.24,Mois 3
HP,Battery Life,.57,Mois 3
HP,Brand,.66,Mois 3
HP,Contract Cost,.03,Mois 3
HP,Design And Quality,.39,Mois 3
HP,Large Screen,.18,Mois 3
HP,Pixel Quality,.09,Mois 3
HP,Sound,.41,Mois 3
Apple,Battery Life,.14,Mois 4
Apple,Brand,.15,Mois 4
Apple,Contract Cost,.17,Mois 4
Apple,Design And Quality,.03,Mois 4
Apple,Large Screen,.08,Mois 4
Apple,Pixel Quality,.09,Mois 4
Apple,Sound,.15,Mois 4
HP,Battery Life,.14,Mois 4
HP,Brand,.32,Mois 4
HP,Contract Cost,.13,Mois 4
HP,Design And Quality,.19,Mois 4
HP,Large Screen,.18,Mois 4
HP,Pixel Quality,.19,Mois 4
HP,Sound,.23,Mois 4
