;_id;breakdown;catégorie;fréquence;part;clients;pays;domain
0;6149add3ac0103e25e9c00b9;By territory;Agglo 1 2014;Multiple times/year;45;896;France;stackedbarchart-base-data
1;6149add3ac0103e25e9c00ba;By territory;Agglo 1 2011;Multiple times/year;50;1242;France;stackedbarchart-base-data
2;6149add3ac0103e25e9c00bb;By territory;Agglo 2;Multiple times/year;49;131;France;stackedbarchart-base-data
3;6149add3ac0103e25e9c00bc;By territory;Agglo 3;Multiple times/year;51;110;France;stackedbarchart-base-data
4;6149add3ac0103e25e9c00bd;By territory;Medium City 2;Multiple times/year;43;160;France;stackedbarchart-base-data
5;6149add3ac0103e25e9c00be;By territory;Medium City 3;Multiple times/year;37;103;France;stackedbarchart-base-data
6;6149add3ac0103e25e9c00bf;By territory;Big City 1;Multiple times/year;47;181;France;stackedbarchart-base-data
7;6149add3ac0103e25e9c00c0;By territory;Medium City 4;Multiple times/year;44;153;France;stackedbarchart-base-data
8;6149add3ac0103e25e9c00c1;By territory;Big City 2;Multiple times/year;39;47;France;stackedbarchart-base-data
9;6149add3ac0103e25e9c00c2;By age;18-24 years 2014;Multiple times/year;45;896;France;stackedbarchart-base-data
10;6149add3ac0103e25e9c00c3;By age;18-24 years 2011;Multiple times/year;50;1242;France;stackedbarchart-base-data
11;6149add3ac0103e25e9c00c4;By age;25-35 years;Multiple times/year;28;37;France;stackedbarchart-base-data
12;6149add3ac0103e25e9c00c5;By age;36-45 years;Multiple times/year;41;239;France;stackedbarchart-base-data
13;6149add3ac0103e25e9c00c6;By age;46-55 years;Multiple times/year;39;44;France;stackedbarchart-base-data
14;6149add3ac0103e25e9c00c7;By age;56-65 years;Multiple times/year;46;232;France;stackedbarchart-base-data
15;6149add3ac0103e25e9c00c8;By age;66 + years;Multiple times/year;54;241;France;stackedbarchart-base-data
16;6149add3ac0103e25e9c00c9;By age;< 18 years;Multiple times/year;61;103;France;stackedbarchart-base-data
17;6149add3ac0103e25e9c00ca;By territory;Agglo 1 2014;1 time/year;35;896;France;stackedbarchart-base-data
18;6149add3ac0103e25e9c00cb;By territory;Agglo 1 2011;1 time/year;28;1242;France;stackedbarchart-base-data
