date,value
01-Jan-2019,7.0
01-Feb-2019,9.0
01-Mar-2019,5.0
01-Apr-2019,10.0
01-May-2019,22.0
01-Jun-2019,27.0
01-Jul-2019,23.0
01-Aug-2019,13.0
01-Sep-2019,14.0
01-Oct-2019,2.0
01-Nov-2019,4.0
01-Dec-2019,13.0
01-Jan-2020,9.0
01-Feb-2020,8.0
01-Mar-2020,9.0
01-Apr-2020,6.0
01-May-2020,32.0
01-Jun-2020,28.0
01-Jul-2020,31.0
01-Aug-2020,19.0
01-Sep-2020,10.0
01-Oct-2020,9.0
01-Nov-2020,9.0
01-Dec-2020,2.0
01-Jan-2021,6.0
01-Feb-2021,5.0
01-Mar-2021,8.0
01-Apr-2021,5.0
01-May-2021,13.0
01-Jun-2021,18.0
01-Jul-2021,23.0
01-Aug-2021,28.0
01-Sep-2021,
01-Oct-2021,
01-Nov-2021,
01-Dec-2021,
01-Jan-2022,
