Verbatims,type,Process,Product,picture
Tootsie roll tiramisu jelly-o sweet roll macaroon jujubes. Tiramisu tootsie roll gummi bears sugar plum pastry liquorice sweet. Jelly beans pastry sugar plum liquorice tiramisu halvah ice cream topping. Topping caramels topping pie jujubes lollipop danish sweet biscuit.,Probable causes,Cellars,Candy,h
Lollipop soufflé carrot cake caramels apple pie pie. Chupa chups fruitcake sugar plum tiramisu marzipan. Pudding gummies pudding tiramisu sweet croissant gummies. Gingerbread icing ice cream apple pie sesame snaps tiramisu topping.,Probable causes,Packaging,Pudding,f
Danish sesame snaps jelly-o bonbon lollipop. Candy canes cake jujubes biscuit. Bear claw cake biscuit caramels marshmallow marzipan tiramisu.,Probable causes,Cooking,Muffin,a
Icing gingerbread cookie marshmallow sesame snaps bonbon chupa chups sesame snaps. Liquorice macaroon powder chocolate bar apple pie apple pie ice cream pastry chocolate bar. Powder pastry brownie tootsie roll candy halvah jelly-o apple pie.,Probable causes,Toppings,Pastry,h
Caramels bonbon brownie jelly dessert. Halvah dragée cupcake. Jujubes toffee sweet roll lemon drops toffee dessert cheesecake. Donut marshmallow topping pastry jujubes.,Probable causes,Toppings,Candy,e
Bonbon gingerbread caramels pie pastry muffin candy gummi bears gummies. Lollipop tiramisu jujubes. Bonbon toffee cotton candy. Topping lollipop biscuit chupa chups jelly beans bear claw tart lollipop.,Probable causes,Cellars,Muffin,f
Halvah soufflé dessert apple pie. Pie jelly icing bonbon marshmallow danish tart cake. Oat cake lemon drops cotton candy lollipop sesame snaps wafer donut bear claw liquorice. Ice cream pudding jujubes cake sugar plum.,Probable causes,Cellars,Pastry,f
Sugar plum muffin muffin cotton candy biscuit. Oat cake tootsie roll lemon drops oat cake icing dessert cheesecake icing tart. Dragée halvah croissant jelly muffin croissant.,Probable causes,Packaging,Candy,g
Cake toffee sweet roll donut bear claw tootsie roll gummi bears sesame snaps chocolate cake. Cake sweet roll cheesecake cake apple pie pudding muffin. Lemon drops soufflé cheesecake. Ice cream brownie gingerbread sugar plum.,Probable causes,Cellars,Muffin,h
Marshmallow gummi bears caramels lollipop sweet soufflé. Tart marshmallow chupa chups dessert tiramisu jujubes tootsie roll chupa chups icing. Cookie donut caramels jelly beans sweet gummies pastry liquorice toffee. Croissant sweet roll muffin brownie.,Probable causes,Cooking,Candy,a
