year	region	category	value
2019	ASIA PACIFIC	Luxury Collection	269
2019	ASIA PACIFIC	Flawless	463
2019	ASIA PACIFIC	Silky One	107
2019	ASIA PACIFIC	BioPerfect	441
2019	EUROPE	Luxury Collection	107
2019	EUROPE	Flawless	110
2019	EUROPE	Silky One	473
2019	EUROPE	BioPerfect	186
2019	NORTH AMERICA	Luxury Collection	383
2019	NORTH AMERICA	Flawless	416
2019	NORTH AMERICA	Silky One	471
2019	NORTH AMERICA	BioPerfect	496
2019	TRAVEL RETAIL	Luxury Collection	358
2019	TRAVEL RETAIL	Flawless	271
2019	TRAVEL RETAIL	Silky One	453
2019	TRAVEL RETAIL	BioPerfect	408
2020	ASIA PACIFIC	Luxury Collection	243
2020	ASIA PACIFIC	Flawless	167
2020	ASIA PACIFIC	Silky One	456
2020	ASIA PACIFIC	BioPerfect	152
2020	EUROPE	Luxury Collection	446
2020	EUROPE	Flawless	199
2020	EUROPE	Silky One	281
2020	EUROPE	BioPerfect	444
2020	NORTH AMERICA	Luxury Collection	324
2020	NORTH AMERICA	Flawless	152
2020	NORTH AMERICA	Silky One	395
2020	NORTH AMERICA	BioPerfect	256
2020	TRAVEL RETAIL	Luxury Collection	462
2020	TRAVEL RETAIL	Flawless	126
2020	TRAVEL RETAIL	Silky One	494
2020	TRAVEL RETAIL	BioPerfect	212
2021	ASIA PACIFIC	Luxury Collection	217
2021	ASIA PACIFIC	Flawless	388
2021	ASIA PACIFIC	Silky One	123
2021	ASIA PACIFIC	BioPerfect	385
2021	EUROPE	Luxury Collection	201
2021	EUROPE	Flawless	250
2021	EUROPE	Silky One	338
2021	EUROPE	BioPerfect	284
2021	NORTH AMERICA	Luxury Collection	342
2021	NORTH AMERICA	Flawless	337
2021	NORTH AMERICA	Silky One	146
2021	NORTH AMERICA	BioPerfect	456
2021	TRAVEL RETAIL	Luxury Collection	142
2021	TRAVEL RETAIL	Flawless	435
2021	TRAVEL RETAIL	Silky One	282
2021	TRAVEL RETAIL	BioPerfect	115
